name,clusterid
f112v,2
f37v,3
f75r,2
f28r,3
f38v,3
f112r,5
f3r,3
f72v3,3
f50r,3
f33v,3
f70v1,3
f86v3,2
f32v,3
f96v,3
f89r2,3
f26r,3
f21r,3
f95r1,3
f68r2,3
f66v,3
f65v,3
f75v,2
f95v2,3
f17r,3
f67r2,3
f73v,3
f82r,2
f31r,3
f23r,3
f16r,3
f3v,3
f114v,5
f72v2,3
f76v,1
f46v,3
f104v,5
f56v,3
f7r,3
f68v2,3
f76r,1
f22v,3
f41r,3
f102v2,3
f48v,3
f44r,3
f43r,3
f20r,3
f115r,5
f53v,3
f14r,3
f32r,3
f18v,3
f69r,3
f16v,3
f72r1,3
f9r,3
f86v6,5
f67v1,3
f93v,3
f24r,3
f87v,3
f96r,3
f90v1,3
f56r,3
f8v,3
f86v5,4
f113r,5
f18r,3
f103v,2
f108r,5
f11r,3
f87r,3
f47r,3
f89r1,3
f49v,3
f70v2,3
f104r,5
f115v,5
f83v,2
f37r,3
f2v,3
f46r,3
f67v2,3
f88v,3
f6v,3
f99v,3
f42r,3
f36v,3
f26v,3
f25r,3
f41v,3
f1r,3
f79r,2
f99r,3
f111r,1
f72v1,3
f72r3,3
f106v,5
f80v,2
f27r,3
f90r2,3
f28v,3
f40r,3
f22r,3
f49r,3
f53r,3
f19r,3
f81r,2
f35v,3
f52r,3
f65r,3
f4r,3
f33r,3
f89v1,3
f2r,3
f30r,3
f102r1,3
f34v,3
f89v2,3
f102v1,3
f84r,2
f7v,3
f29v,3
f9v,3
f50v,3
f19v,3
f27v,3
f51r,3
f5r,3
f11v,3
f107v,5
f23v,3
f8r,3
f107r,5
f101v2,3
f94v,3
f105v,5
f5v,3
f42v,3
f78v,2
f80r,2
f66r,4
f35r,3
f100v,3
f4v,3
f83r,2
f94r,3
f106r,5
f10r,3
f58r,4
f77r,2
f67r1,3
f39r,3
f114r,5
f51v,3
f55v,3
f78r,2
f52v,3
f68r3,3
f85r2,3
f71v,3
f17v,3
f13r,3
f47v,3
f70r2,3
f102r2,3
f101r1,3
f105r,5
f84v,2
f25v,3
f6r,3
f93r,3
f103r,1
f88r,3
f38r,3
f108v,1
f57r,3
f44v,3
f57v,3
f100r,3
f34r,3
f72r2,3
f48r,3
f82v,2
f70r1,3
f85r1,5
f20v,3
f71r,3
f111v,1
f95v1,3
f113v,5
f95r2,3
f15v,3
f43v,3
f73r,3
f10v,3
f45v,3
f40v,3
f1v,3
f24v,3
f54v,3
f36r,3
f31v,3
f116r,1
f13v,3
f69v,3
f21v,3
f90r1,3
f79v,2
f30v,3
f45r,3
f15r,3
f14v,3
f90v2,3
f29r,3
f58v,4
f81v,2
f55r,3
f68v1,3
f39v,3
f68r1,3
f68v3,3
f86v4,3
f77v,2
f54r,3
